index,raw,x,y,angle
0,1.4630000591278076,8.95829169781629e-17,-1.4630000591278076,-90.0
1, 1.468000054359436,0.006405338267195015,-1.4679860800569569,-89.75
2, 1.4539999961853027,0.012688382581346554,-1.453944632320753,-89.5
3, 1.4459999799728394,0.01892755493401682,-1.4458760976465692,-89.25
4, 1.437000036239624,0.02507910868284518,-1.4367811741738388,-89.0
5, 1.434999942779541,0.031304358776337526,-1.4346584516528276,-88.75
6, 1.4329999685287476,0.03751156610136086,-1.4325089152295056,-88.5
7, 1.4299999475479126,0.04367007228823755,-1.429332982468876,-88.25
8, 1.4140000343322754,0.04934788953551566,-1.4131386637163625,-88.0
9, 1.3799999952316284,0.05417854556030937,-1.3789360652475022,-87.75
10, 1.3320000171661377,0.05810102471940397,-1.330732248296834,-87.5
11, 1.1619999408721924,0.05575058250496007,-1.1606617660357974,-87.25
12, 0.9190000295639038,0.04809674533452068,-0.9177405719628409,-87.0
13, 0.796999990940094,0.04518415117438061,-0.7957181523888723,-86.75
14, 0.8130000233650208,0.04963246406823906,-0.8114836144384181,-86.5
15, 0.8050000071525574,0.05264951949806479,-0.803276440344319,-86.25
16, 0.8169999718666077,0.05699103708646407,-0.8150098009974156,-86.0
17, 0.8119999766349792,0.06017609230711786,-0.8097671270000111,-85.75
18, 0.8090000152587891,0.0634734096410174,-0.8065061382018518,-85.5
19, 0.796999990940094,0.06599814063699229,-0.794262696461926,-85.25
20, 0.8080000281333923,0.07042184259209448,-0.8049253440844667,-85.0
21, 0.8009999990463257,0.07329279646212268,-0.7976397460376305,-84.75
22, 0.7990000247955322,0.07658075864020548,-0.7953215871767543,-84.5
23, 0.8050000071525574,0.0806513903143223,-0.8009496643085533,-84.25
24, 0.8090000152587891,0.08456352837850942,-0.8045682285281329,-84.0
25, 0.8090000152587891,0.08807330341641598,-0.8041915927899526,-83.75
26, 0.8180000185966492,0.09260023096734823,-0.8127417964205558,-83.5
27, 0.8169999718666077,0.09602805041632768,-0.8113369013937902,-83.25
28, 0.8019999861717224,0.09773921172568517,-0.7960219998911365,-83.0
29, 0.8009999990463257,0.1010853741574469,-0.794595963747402,-82.75
30, 0.8100000023841858,0.10572621600944059,-0.8030703400765752,-82.5
31, 0.8100000023841858,0.10922925384322536,-0.802601379245783,-82.25
32, 0.8069999814033508,0.1123126898866195,-0.7991463130587795,-82.0
33, 0.8059999942779541,0.11565505250381913,-0.7976590121138235,-81.75
34, 0.8119999766349792,0.1200212383836738,-0.8030808579415003,-81.5
35, 0.8130000233650208,0.12367631652676844,-0.8035379311033766,-81.25
36, 0.8119999766349792,0.127024781957573,-0.8020029094858933,-81.0
37, 0.8199999928474426,0.13180890264541698,-0.809337013519842,-80.75
38, 0.8199999928474426,0.13533903562524316,-0.8087541862060654,-80.5
39, 0.8199999928474426,0.13886659194491827,-0.8081559613783775,-80.25
40, 0.8140000104904175,0.14134961844252322,-0.8016335212829818,-80.0
41, 0.8119999766349792,0.14449015476710492,-0.7990410234966568,-79.75
42, 0.8140000104904175,0.14833971966233475,-0.8003695050718135,-79.5
43, 0.8230000138282776,0.1535092842144947,-0.8085566909136914,-79.25
44, 0.8259999752044678,0.1576082254498155,-0.8108240291878019,-79.0
45, 0.824999988079071,0.160949513337648,-0.8091478446407935,-78.75
46, 0.8220000267028809,0.16388044741463428,-0.8054981333651345,-78.5
47, 0.8330000042915344,0.1696335795737034,-0.8155448827812657,-78.25
48, 0.8479999899864197,0.1763091117315196,-0.8294691556275076,-78.0
49, 0.902999997138977,0.19159643735022586,-0.8824396863399184,-77.75
50, 1.24399995803833,0.2692508706568324,-1.2145121918901862,-77.5
51, 1.74399995803833,0.38489631741666497,-1.7009969660398536,-77.25
52, 2.440999984741211,0.5491055202208935,-2.378437313273052,-77.0
53, 2.4509999752044678,0.5617701524676917,-2.3857525383511025,-76.75
54, 2.4549999237060547,0.5731083504557801,-2.3871680803903583,-76.5
55, 2.4590001106262207,0.5844696355243516,-2.388530257126712,-76.25
56, 2.4679999351501465,0.5970632226513803,-2.3946897895256236,-76.0
57, 2.4779999256134033,0.6099678418153394,-2.4017541221555487,-75.75
58, 2.4809999465942383,0.6211927766873345,-2.4019742440734233,-75.5
59, 2.4739999771118164,0.6298852140330992,-2.3924716307391702,-75.25
60, 2.437999963760376,0.6310008225804407,-2.35492712948796,-75.0
61, 2.427000045776367,0.6383767695301181,-2.341538879096988,-74.75
62, 2.3959999084472656,0.6403031246170996,-2.3088584776648577,-74.5
63, 2.3589999675750732,0.6403280124302736,-2.2704318715866134,-74.25
64, 2.1459999084472656,0.5915177403479266,-2.0628675114774957,-74.0
65, 2.13100004196167,0.5963156406421367,-2.045866279981709,-73.75
66, 2.4149999618530273,0.6858970466256479,-2.315549623130616,-73.5
67, 2.4149999618530273,0.6959939765500107,-2.3125347998151784,-73.25
68, 2.2869999408721924,0.6686540714136011,-2.1870689203432585,-73.0
69, 1.625,0.48188005933530276,-1.5519074097429282,-72.75
70, 1.5859999656677246,0.47691938768986275,-1.512595051143415,-72.5
71, 1.5820000171661377,0.48229532629565575,-1.506690171384624,-72.25
72, 1.6059999465942383,0.4962812764628776,-1.5273967143781189,-72.0
73, 1.7259999513626099,0.5405207147594815,-1.639180645633553,-71.75
74, 2.0269999504089355,0.643176522797646,-1.9222520020745866,-71.5
75, 2.0490000247955322,0.658629472376441,-1.9402598588151079,-71.25
76, 1.9459999799728394,0.6335556220534213,-1.8399791291802179,-71.0
77, 1.5820000171661377,0.5215706064652446,-1.4935488464677467,-70.75
